CRUISE,Station ID,STATION,LAT,LONG,sample_label,Date/Time [yyyy-mm-ddThh:mm],depth.id,size.frac.lower,size.frac.upper
TARA,TARA_124_MIX_0.22-0.45,TARA_124,-9.0714,-140.5973,TARA_124_MIX_0.22-0.45,2011-08-05T17:31:19,MIX,0.22,0.45
TARA,TARA_124_SRF_0.22-3,TARA_124,-9.1504,-140.5216,TARA_124_SRF_0.22-3,2011-08-04T18:33,SRF,0.22,3
TARA,TARA_124_SRF_0.22-3,TARA_124,-9.1504,-140.5216,TARA_124_SRF_0.22-3,2011-08-04T18:33,SRF,0.22,3
TARA,TARA_124_SRF_0.22-3,TARA_124,-9.1504,-140.5216,TARA_124_SRF_0.22-3,2011-08-04T18:33,SRF,0.22,3
TARA,TARA_124_SRF_0.22-3,TARA_124,-9.1504,-140.5216,TARA_124_SRF_0.22-3,2011-08-04T18:33,SRF,0.22,3
TARA,TARA_124_SRF_0.1-0.22,TARA_124,-9.1504,-140.5216,TARA_124_SRF_0.1-0.22,2011-08-04T18:33,SRF,0.1,0.22
TARA,TARA_124_MIX_0.45-0.8,TARA_124,-9.0714,-140.5973,TARA_124_MIX_0.45-0.8,2011-08-05T17:31:19,MIX,0.45,0.8
TARA,TARA_123_SRF_0.45-0.8,TARA_123,-8.9068,-140.283,TARA_123_SRF_0.45-0.8,2011-07-31T17:20,SRF,0.45,0.8
TARA,TARA_124_MIX_0.22-3,TARA_124,-9.0714,-140.5973,TARA_124_MIX_0.22-3,2011-08-05T17:31:19,MIX,0.22,3
TARA,TARA_124_MIX_0.22-3,TARA_124,-9.0714,-140.5973,TARA_124_MIX_0.22-3,2011-08-05T17:31:19,MIX,0.22,3
TARA,TARA_124_MIX_0.22-3,TARA_124,-9.0714,-140.5973,TARA_124_MIX_0.22-3,2011-08-05T17:31:19,MIX,0.22,3
TARA,TARA_124_MIX_0.22-3,TARA_124,-9.0714,-140.5973,TARA_124_MIX_0.22-3,2011-08-05T17:31:19,MIX,0.22,3
TARA,TARA_122_DCM_0.22-0.45,TARA_122,-9.0063,-139.1394,TARA_122_DCM_0.22-0.45,2011-07-28T17:15:56,DCM,0.22,0.45
TARA,TARA_122_DCM_0.45-0.8,TARA_122,-9.0063,-139.1394,TARA_122_DCM_0.45-0.8,2011-07-28T17:15:56,DCM,0.45,0.8
TARA,TARA_123_MIX_0.22-0.45,TARA_123,-8.9109,-140.2845,TARA_123_MIX_0.22-0.45,2011-08-01T17:52:45,MIX,0.22,0.45
TARA,TARA_123_SRF_0.22-3,TARA_123,-8.9068,-140.283,TARA_123_SRF_0.22-3,2011-07-31T17:20,SRF,0.22,3
TARA,TARA_123_SRF_0.22-0.45,TARA_123,-8.9068,-140.283,TARA_123_SRF_0.22-0.45,2011-07-31T17:20,SRF,0.22,0.45
TARA,TARA_124_SRF_0.22-0.45,TARA_124,-9.1504,-140.5216,TARA_124_SRF_0.22-0.45,2011-08-04T18:33,SRF,0.22,0.45
TARA,TARA_125_MIX_0.22-0.45,TARA_125,-8.8999,-142.5461,TARA_125_MIX_0.22-0.45,2011-08-09T17:05:33,MIX,0.22,0.45
TARA,TARA_124_SRF_0.45-0.8,TARA_124,-9.1504,-140.5216,TARA_124_SRF_0.45-0.8,2011-08-04T18:33,SRF,0.45,0.8
TARA,TARA_125_SRF_0.22-3,TARA_125,-8.9111,-142.5571,TARA_125_SRF_0.22-3,2011-08-08T17:33,SRF,0.22,3
TARA,TARA_125_SRF_0.22-3,TARA_125,-8.9111,-142.5571,TARA_125_SRF_0.22-3,2011-08-08T17:33,SRF,0.22,3
TARA,TARA_125_SRF_0.22-3,TARA_125,-8.9111,-142.5571,TARA_125_SRF_0.22-3,2011-08-08T17:33,SRF,0.22,3
TARA,TARA_125_SRF_0.22-3,TARA_125,-8.9111,-142.5571,TARA_125_SRF_0.22-3,2011-08-08T17:33,SRF,0.22,3
TARA,TARA_128_DCM_0.22-3,TARA_128,0.0222,-153.6858,TARA_128_DCM_0.22-3,2011-09-05T18:40,DCM,0.22,3
TARA,TARA_125_MIX_0.45-0.8,TARA_125,-8.8999,-142.5461,TARA_125_MIX_0.45-0.8,2011-08-09T17:05:33,MIX,0.45,0.8
TARA,TARA_128_SRF_0.22-3,TARA_128,0.0003,-153.6759,TARA_128_SRF_0.22-3,2011-09-04T18:00,SRF,0.22,3
TARA,TARA_076_DCM_0.45-0.8,TARA_076,-21.0292,-35.3498,TARA_076_DCM_0.45-0.8,2010-10-16T16:58:37,DCM,0.45,0.8
TARA,TARA_076_SRF_0.22-3,TARA_076,-20.9354,-35.1803,TARA_076_SRF_0.22-3,2010-10-16T09:55,SRF,0.22,3
TARA,TARA_076_SRF_0.22-3,TARA_076,-20.9354,-35.1803,TARA_076_SRF_0.22-3,2010-10-16T09:55,SRF,0.22,3
TARA,TARA_076_SRF_0.45-0.8,TARA_076,-20.9354,-35.1803,TARA_076_SRF_0.45-0.8,2010-10-16T09:55,SRF,0.45,0.8
TARA,TARA_078_DCM_0.22-3,TARA_078,-30.1484,-43.2705,TARA_078_DCM_0.22-3,2010-11-04T18:16:53,DCM,0.22,3
TARA,TARA_078_DCM_0.22-3,TARA_078,-30.1484,-43.2705,TARA_078_DCM_0.22-3,2010-11-04T18:16:53,DCM,0.22,3
TARA,TARA_078_DCM_0.45-0.8,TARA_078,-30.1484,-43.2705,TARA_078_DCM_0.45-0.8,2010-11-04T18:16:53,DCM,0.45,0.8
TARA,TARA_076_DCM_0.22-0.45,TARA_076,-21.0292,-35.3498,TARA_076_DCM_0.22-0.45,2010-10-16T16:58:37,DCM,0.22,0.45
TARA,TARA_078_SRF_0.22-3,TARA_078,-30.1367,-43.2899,TARA_078_SRF_0.22-3,2010-11-04T10:04,SRF,0.22,3
TARA,TARA_078_SRF_0.22-3,TARA_078,-30.1367,-43.2899,TARA_078_SRF_0.22-3,2010-11-04T10:04,SRF,0.22,3
TARA,TARA_078_SRF_0.22-0.45,TARA_078,-30.1367,-43.2899,TARA_078_SRF_0.22-0.45,2010-11-04T10:04,SRF,0.22,0.45
TARA,TARA_078_SRF_0.45-0.8,TARA_078,-30.1367,-43.2899,TARA_078_SRF_0.45-0.8,2010-11-04T10:04,SRF,0.45,0.8
TARA,TARA_078_DCM_0.22-0.45,TARA_078,-30.1484,-43.2705,TARA_078_DCM_0.22-0.45,2010-11-04T18:16:53,DCM,0.22,0.45
TARA,TARA_076_DCM_0.22-3,TARA_076,-21.0292,-35.3498,TARA_076_DCM_0.22-3,2010-10-16T16:58:37,DCM,0.22,3
TARA,TARA_076_SRF_0.22-0.45,TARA_076,-20.9354,-35.1803,TARA_076_SRF_0.22-0.45,2010-10-16T09:55,SRF,0.22,0.45
TARA,TARA_072_DCM_0.22-3,TARA_072,-8.7296,-17.9604,TARA_072_DCM_0.22-3,2010-10-05T15:35,DCM,0.22,3
TARA,TARA_072_DCM_0.22-3,TARA_072,-8.7296,-17.9604,TARA_072_DCM_0.22-3,2010-10-05T15:35,DCM,0.22,3
TARA,TARA_064_SRF_0.22-3,TARA_064,-29.5019,37.9889,TARA_064_SRF_0.22-3,2010-07-07T04:48,SRF,0.22,3
TARA,TARA_064_SRF_0.22-3,TARA_064,-29.5019,37.9889,TARA_064_SRF_0.22-3,2010-07-07T04:48,SRF,0.22,3
TARA,TARA_064_SRF_0.22-3,TARA_064,-29.5019,37.9889,TARA_064_SRF_0.22-3,2010-07-07T04:48,SRF,0.22,3
TARA,TARA_064_DCM_0.22-3,TARA_064,-29.5333,37.9117,TARA_064_DCM_0.22-3,2010-07-08T06:21,DCM,0.22,3
TARA,TARA_064_DCM_0.22-3,TARA_064,-29.5333,37.9117,TARA_064_DCM_0.22-3,2010-07-08T06:21,DCM,0.22,3
TARA,TARA_064_DCM_0.22-3,TARA_064,-29.5333,37.9117,TARA_064_DCM_0.22-3,2010-07-08T06:21,DCM,0.22,3
TARA,TARA_066_DCM_0.22-3,TARA_066,-34.8901,18.0459,TARA_066_DCM_0.22-3,2010-07-15T15:36:10,DCM,0.22,3
TARA,TARA_066_DCM_0.22-3,TARA_066,-34.8901,18.0459,TARA_066_DCM_0.22-3,2010-07-15T15:36:10,DCM,0.22,3
TARA,TARA_066_SRF_0.22-3,TARA_066,-34.9449,17.9189,TARA_066_SRF_0.22-3,2010-07-15T12:22,SRF,0.22,3
TARA,TARA_066_SRF_0.22-3,TARA_066,-34.9449,17.9189,TARA_066_SRF_0.22-3,2010-07-15T12:22,SRF,0.22,3
