run_id,tara_label
ERR598993,TARA_018_SRF_0.22-1.6
ERR599140,TARA_018_SRF_0.22-1.6
ERR315859,TARA_023_DCM_0.22-1.6
ERR315860,TARA_023_DCM_0.22-1.6
ERR315858,TARA_023_SRF_0.22-1.6
ERR315861,TARA_023_SRF_0.22-1.6
ERR598951,TARA_025_SRF_0.22-1.6
ERR599043,TARA_025_SRF_0.22-1.6
ERR318618,TARA_030_DCM_0.22-1.6
ERR318619,TARA_030_DCM_0.22-1.6
ERR318620,TARA_030_DCM_0.22-1.6
ERR318621,TARA_030_DCM_0.22-1.6
ERR315862,TARA_030_SRF_0.22-1.6
ERR315863,TARA_030_SRF_0.22-1.6
ERR598969,TARA_031_SRF_0.22-1.6
ERR599106,TARA_031_SRF_0.22-1.6
ERR599061,TARA_032_DCM_0.22-1.6
ERR599097,TARA_032_DCM_0.22-1.6
ERR599041,TARA_032_SRF_0.22-1.6
ERR599116,TARA_032_SRF_0.22-1.6
ERR599155,TARA_032_SRF_0.22-1.6
ERR599049,TARA_033_SRF_0.22-1.6
ERR599134,TARA_033_SRF_0.22-1.6
ERR594334,TARA_036_SRF_0.1-0.22
ERR598966,TARA_036_SRF_0.22-1.6
ERR599143,TARA_036_SRF_0.22-1.6
ERR594312,TARA_038_MES_0.1-0.22
ERR599109,TARA_038_MES_0.22-1.6
ERR599167,TARA_038_MES_0.22-1.6
ERR594330,TARA_038_SRF_0.1-0.22
ERR599102,TARA_038_SRF_0.22-1.6
ERR599158,TARA_038_SRF_0.22-1.6
ERR599145,TARA_039_DCM_0.22-1.6
ERR594346,TARA_039_MES_0.1-0.22
ERR599037,TARA_039_MES_0.22-1.6
ERR599172,TARA_039_MES_0.22-1.6
ERR594327,TARA_039_SRF_0.1-0.22
ERR599075,TARA_042_SRF_0.22-1.6
ERR599141,TARA_042_SRF_0.22-1.6
ERR599045,TARA_045_SRF_0.22-1.6
ERR599054,TARA_045_SRF_0.22-1.6
ERR594314,TARA_048_SRF_0.1-0.22
ERR599019,TARA_048_SRF_0.22-1.6
ERR599138,TARA_048_SRF_0.22-1.6
ERR599002,TARA_052_DCM_0.22-1.6
ERR599016,TARA_052_DCM_0.22-1.6
ERR599098,TARA_052_SRF_0.22-1.6
ERR599139,TARA_052_SRF_0.22-1.6
ERR599026,TARA_058_DCM_0.22-3
ERR594324,TARA_064_DCM_0.1-0.22
ERR598972,TARA_064_DCM_0.22-3
ERR599023,TARA_064_DCM_0.22-3
ERR599025,TARA_064_DCM_0.22-3
ERR599021,TARA_064_MES_0.22-3
ERR599164,TARA_064_MES_0.22-3
ERR598970,TARA_064_SRF_0.22-3
ERR599088,TARA_064_SRF_0.22-3
ERR599150,TARA_064_SRF_0.22-3
ERR598982,TARA_066_DCM_0.22-3
ERR599107,TARA_066_DCM_0.22-3
ERR598973,TARA_066_SRF_0.22-3
ERR599068,TARA_066_SRF_0.22-3
ERR599173,TARA_066_SRF_0.22-3
ERR598994,TARA_067_SRF_0.22-3
ERR599144,TARA_067_SRF_0.22-3
ERR594313,TARA_067_SRF_0.22-0.45
ERR594325,TARA_067_SRF_0.45-0.8
ERR599017,TARA_068_DCM_0.22-3
ERR599056,TARA_068_DCM_0.22-3
ERR599103,TARA_068_DCM_0.22-3
ERR594294,TARA_068_DCM_0.22-0.45
ERR594348,TARA_068_DCM_0.45-0.8
ERR598947,TARA_068_MES_0.22-3
ERR599131,TARA_068_MES_0.22-3
ERR594302,TARA_068_MES_0.45-0.8
ERR599129,TARA_068_SRF_0.22-3
ERR599171,TARA_068_SRF_0.22-3
ERR599174,TARA_068_SRF_0.22-3
ERR594318,TARA_068_SRF_0.22-0.45
ERR594297,TARA_068_SRF_0.45-0.8
ERR599044,TARA_070_MES_0.22-3
ERR599149,TARA_070_MES_0.22-3
ERR594299,TARA_070_MES_0.22-0.45
ERR594308,TARA_070_MES_0.22-0.45
ERR594331,TARA_070_MES_0.45-0.8
ERR599135,TARA_070_SRF_0.22-3
ERR599165,TARA_070_SRF_0.22-3
ERR594349,TARA_070_SRF_0.22-0.45
ERR594335,TARA_070_SRF_0.45-0.8
ERR599133,TARA_072_DCM_0.22-3
ERR599137,TARA_072_DCM_0.22-3
ERR599040,TARA_076_DCM_0.22-3
ERR599148,TARA_076_DCM_0.22-3
ERR594321,TARA_076_DCM_0.22-0.45
ERR594298,TARA_076_DCM_0.45-0.8
ERR599000,TARA_076_MES_0.22-3
ERR599154,TARA_076_MES_0.22-3
ERR594333,TARA_076_MES_0.45-0.8
ERR599010,TARA_076_SRF_0.22-3
ERR599126,TARA_076_SRF_0.22-3
ERR594310,TARA_076_SRF_0.22-0.45
ERR594286,TARA_076_SRF_0.45-0.8
ERR599046,TARA_078_DCM_0.22-3
ERR599101,TARA_078_DCM_0.22-3
ERR594336,TARA_078_DCM_0.22-0.45
ERR594303,TARA_078_DCM_0.45-0.8
ERR599124,TARA_078_MES_0.22-3
ERR599159,TARA_078_MES_0.22-3
ERR594289,TARA_078_MES_0.45-0.8
ERR599006,TARA_078_SRF_0.22-3
ERR599022,TARA_078_SRF_0.22-3
ERR594340,TARA_078_SRF_0.22-0.45
ERR594332,TARA_078_SRF_0.45-0.8
ERR599027,TARA_082_DCM_0.22-3
ERR599122,TARA_082_DCM_0.22-3
ERR599009,TARA_082_SRF_0.22-3
ERR599035,TARA_082_SRF_0.22-3
ERR598945,TARA_084_SRF_0.22-3
ERR599059,TARA_084_SRF_0.22-3
ERR599104,TARA_085_DCM_0.22-3
ERR599121,TARA_085_DCM_0.22-3
ERR599090,TARA_085_SRF_0.22-3
ERR599176,TARA_085_SRF_0.22-3
ERR598965,TARA_093_DCM_0.22-3
ERR599064,TARA_093_SRF_0.22-3
ERR598967,TARA_096_SRF_0.22-3
ERR599042,TARA_098_DCM_0.22-3
ERR599079,TARA_098_DCM_0.22-3
ERR599071,TARA_098_MES_0.22-3
ERR599085,TARA_098_MES_0.22-3
ERR599093,TARA_098_SRF_0.22-3
ERR599120,TARA_098_SRF_0.22-3
ERR599081,TARA_100_DCM_0.22-3
ERR599113,TARA_100_DCM_0.22-3
ERR598946,TARA_100_MES_0.22-3
ERR598953,TARA_100_MES_0.22-3
ERR598981,TARA_100_MES_0.22-3
ERR599063,TARA_100_SRF_0.22-3
ERR599163,TARA_100_SRF_0.22-3
ERR599169,TARA_100_SRF_0.22-3
ERR598962,TARA_102_DCM_0.22-3
ERR599007,TARA_102_DCM_0.22-3
ERR599168,TARA_102_DCM_0.22-3
ERR599055,TARA_102_MES_0.22-3
ERR599128,TARA_102_MES_0.22-3
ERR599132,TARA_102_MES_0.22-3
ERR598943,TARA_102_SRF_0.22-3
ERR598978,TARA_102_SRF_0.22-3
ERR599020,TARA_110_MES_0.22-3
ERR599039,TARA_110_SRF_0.22-3
ERR598961,TARA_111_DCM_0.22-3
ERR599086,TARA_111_MES_0.22-3
ERR599077,TARA_111_SRF_0.22-3
ERR598957,TARA_112_DCM_0.22-3
ERR599072,TARA_112_MES_0.22-3
ERR598954,TARA_112_SRF_0.22-3
ERR594284,TARA_122_DCM_0.1-0.22
ERR598948,TARA_122_DCM_0.22-3
ERR594304,TARA_122_DCM_0.22-0.45
ERR594301,TARA_122_DCM_0.45-0.8
ERR594309,TARA_122_MES_0.1-0.22
ERR598999,TARA_122_MES_0.22-3
ERR599033,TARA_122_MES_0.22-3
ERR599083,TARA_122_MES_0.22-3
ERR599096,TARA_122_MES_0.22-3
